India/State /UT,Number of teachers by Classes Taught – Others,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,252911,3697,23740,106193,41234,55206,8782,8694,3094,2271
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,378,1,15,140,163,52,6,1,0,0
Arunachal Pradesh,246,21,24,128,38,35,0,0,0,0
Assam,9125,13,138,4517,138,1049,238,2470,21,541
Bihar,45325,482,1071,12589,10605,19482,259,505,95,237
Chandigarh,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,521,0,1,339,11,170,0,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",22,0,0,0,10,1,1,3,1,6
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,72,7,7,23,16,6,1,4,5,3
Haryana,4944,158,154,2780,599,1095,46,45,42,25
Himachal Pradesh,5,0,0,5,0,0,0,0,0,0
Jammu and Kashmir,369,19,21,140,72,69,13,28,2,5
Jharkhand,46515,1015,2526,18376,11179,11703,949,661,36,70
Karnataka,10,0,0,7,1,0,0,2,0,0
Kerala,7126,714,312,3331,1035,1302,235,149,26,22
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,3670,2,38,1671,1348,602,2,1,5,1
Maharashtra,1510,57,61,937,212,199,27,17,0,0
Manipur,854,45,99,394,199,117,0,0,0,0
Meghalaya,2424,72,336,764,190,202,154,502,13,191
Mizoram,465,27,20,115,101,58,2,111,0,31
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,7758,133,479,4053,1620,729,189,382,37,136
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,78,1,16,47,3,11,0,0,0,0
Rajasthan,7399,33,109,5453,956,633,110,46,47,12
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,1363,177,96,769,147,123,16,25,4,6
Telangana,136,1,9,58,53,7,4,4,0,0
Tripura,876,8,65,684,48,35,12,11,7,6
Uttar Pradesh,69172,59,210,40808,10185,12276,2275,2291,643,425
Uttarakhand,2263,12,25,1496,191,449,13,53,6,18
West Bengal,40285,640,17908,6569,2114,4801,4230,1383,2104,536
