India/State/ UT,Percentage of Schools with drinking water facility,Percentage of Schools with functional drinking water facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,99.3,99.4,98.5,99.4,98,99,99,98.2,99.3,97.8
Andaman and Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,100,100,100,100,100,100,100,100,100,100
Arunachal Pradesh,92.7,90.9,100,99.3,100,90.8,88.5,100,99.3,100
Assam,98,99.1,90.8,98.8,79.4,97.6,98.8,89.3,98.6,77.7
Bihar,99.7,99.8,99.6,99.3,99.7,99.6,99.6,99.6,99.2,99.6
Chandigarh,100,100,100,100,0,100,100,100,100,0
Chhattisgarh,99.5,99.4,99.8,99.8,100,98.8,98.6,99.8,99.8,100
"Dadra and Nagar Haveli andDaman and Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.9,99.9,100,100,100,99.9,99.8,100,100,100
Haryana,100,100,100,100,100,100,100,100,100,100
Himachal Pradesh,100,100,0,100,100,100,100,0,100,100
Jammu and Kashmir,99.7,99.6,100,100,100,99.5,99.3,100,99.9,100
Jharkhand,99.2,99.1,99.6,99.9,99.9,98.8,98.6,99,99.9,99.9
Karnataka,99.9,99.9,100,99.9,100,99.9,99.9,100,99.9,100
Kerala,99.9,99.9,99.9,100,100,99.9,99.9,99.9,100,100
Ladakh,98.8,98.5,100,100,0,97,96.6,100,99.1,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,99.5,99.5,100,99.6,99.4,98.9,98.7,100,99.5,99.4
Maharashtra,99.8,99.7,100,100,100,99.6,99.4,100,100,100
Manipur,99.6,99.8,99.5,99.7,96,99.6,99.7,99.5,99.7,96
Meghalaya,72.7,70.3,77,73.1,72.1,68.7,65.6,73.3,70.2,70.5
Mizoram,94.8,93.7,99.1,96.3,100,93.3,91.5,99.1,96.2,100
Nagaland,90.1,88,0,95.2,0,88.3,85.7,0,94.6,0
Odisha,100,100,100,100,100,100,100,100,100,100
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,100,100,100,100,100,100,100,100,100,100
Rajasthan,99.2,99,0,99.6,98.2,98.7,98.3,0,99.6,97.8
Sikkim,99.8,99.9,100,99.7,0,99.8,99.9,93.8,99.7,0
Tamil Nadu,99.6,99.8,99.6,99.2,100,99.6,99.7,99.6,99.2,100
Telangana,99.6,99.4,95.7,100,100,99.5,99.4,95.7,100,100
Tripura,97.5,97.4,100,99.6,95.2,96.1,95.8,97.6,99.4,94.3
Uttar Pradesh,99.6,99.8,99.7,99.3,99.7,99.4,99.5,99.7,99.2,99.6
Uttarakhand,99.4,99.2,100,100,100,99,98.7,99.8,99.9,100
West Bengal,99.9,99.9,100,99.9,99.9,99.9,99.9,100,99.9,99.9
