India/State/ UT,New Admissions in Class 1 – Others,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,539870,318600,34395,33885,297595,177934,19363,18246,242275,140666,15032,15639
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1016,485,176,108,459,241,67,47,557,244,109,61
Arunachal Pradesh,476,344,72,25,261,188,33,18,215,156,39,7
Assam,15827,8138,1236,2412,8419,4305,701,1284,7408,3833,535,1128
Bihar,96516,61220,5124,9691,55895,36430,3052,5033,40621,24790,2072,4658
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,632,166,34,133,363,78,21,82,269,88,13,51
"Dadra and Nagar Haveli andDaman and Diu",35,1,0,0,35,1,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,103,69,10,0,45,33,2,0,58,36,8,0
Haryana,12592,8918,1320,400,6909,4876,716,245,5683,4042,604,155
Himachal Pradesh,8,3,2,1,5,1,1,1,3,2,1,0
Jammu and Kashmir,394,335,42,8,235,197,29,5,159,138,13,3
Jharkhand,122957,99072,9351,3886,71621,57420,5607,2266,51336,41652,3744,1620
Karnataka,47,19,8,0,30,10,2,0,17,9,6,0
Kerala,16601,13638,2224,377,8874,7261,1211,209,7727,6377,1013,168
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,3445,1760,306,389,1706,834,154,184,1739,926,152,205
Maharashtra,7482,4890,724,251,4051,2683,369,124,3431,2207,355,127
Manipur,1296,1038,109,92,680,543,52,53,616,495,57,39
Meghalaya,4127,3834,256,5,2188,2016,150,2,1939,1818,106,3
Mizoram,796,673,114,8,409,346,56,6,387,327,58,2
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,14346,7539,1171,3440,8044,4241,621,1963,6302,3298,550,1477
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,384,367,11,0,205,189,10,0,179,178,1,0
Rajasthan,18969,4661,856,1006,9957,2437,473,523,9012,2224,383,483
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,3209,2677,429,17,1745,1448,240,9,1464,1229,189,8
Telangana,258,112,28,67,98,66,11,7,160,46,17,60
Tripura,1851,815,85,671,1093,465,49,415,758,350,36,256
Uttar Pradesh,160679,60821,8422,6520,84612,31937,4471,3491,76067,28884,3951,3029
Uttarakhand,9584,2179,407,2155,4921,1127,214,1073,4663,1052,193,1082
West Bengal,46240,34826,1878,2223,24735,18561,1051,1206,21505,16265,827,1017
