India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises –others,"No. of other schools nothaving drinking waterfacility within schoolpremises","Percentage of otherschools havingdrinking waterfacility within schoolpremises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,39219,38431,22112,818,13900,677,113,811,788,98
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,120,120,94,14,9,0,0,3,0,100
Arunachal Pradesh,28,28,23,0,3,1,0,1,0,100
Assam,2475,1965,296,34,1311,123,62,139,510,79.4
Bihar,6033,6012,3105,85,2816,0,0,6,21,99.7
Chandigarh,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,180,180,75,1,100,1,1,2,0,100
"Dadra and Nagar Haveli andDaman and Diu",1,1,1,0,0,0,0,0,0,100
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,5,5,3,0,2,0,0,0,0,100
Haryana,653,653,587,3,33,2,0,28,0,100
Himachal Pradesh,2,2,2,0,0,0,0,0,0,100
Jammu and Kashmir,47,47,44,0,1,1,0,1,0,100
Jharkhand,5726,5721,3143,175,2233,107,5,58,5,99.9
Karnataka,5,5,3,2,0,0,0,0,0,100
Kerala,767,767,406,23,48,279,0,11,0,100
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1108,1101,843,3,232,5,0,18,7,99.4
Maharashtra,214,214,195,3,11,2,0,3,0,100
Manipur,99,95,37,12,4,5,2,35,4,96
Meghalaya,491,354,276,16,17,21,3,21,137,72.1
Mizoram,57,57,53,2,0,0,0,2,0,100
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,965,965,746,34,168,12,0,5,0,100
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,12,12,12,0,0,0,0,0,0,100
Rajasthan,2599,2552,1822,23,363,74,13,257,47,98.2
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,165,165,152,6,5,0,0,2,0,100
Telangana,44,44,38,3,2,0,0,1,0,100
Tripura,229,218,141,3,61,7,0,6,11,95.2
Uttar Pradesh,12416,12374,7072,93,5116,6,2,85,42,99.7
Uttarakhand,467,467,328,1,137,0,0,1,0,100
West Bengal,4311,4307,2615,282,1228,31,25,126,4,99.9
