India/State /UT,Number of teachers by Classes Taught – Government Aided,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,757624,6791,2024,136112,45230,118391,62193,230802,23708,132373
Andaman and Nicobar Islands,75,2,1,18,1,6,18,5,3,21
Andhra Pradesh,3813,1,6,1201,227,284,936,611,0,547
Arunachal Pradesh,1044,4,12,239,323,100,189,89,60,28
Assam,11884,4,3,50,56,6052,307,4269,55,1088
Bihar,3395,0,1,297,332,1054,234,1049,188,240
Chandigarh,344,12,8,58,28,13,86,17,40,82
Chhattisgarh,2501,9,3,850,142,541,124,223,370,239
"Dadra and Nagar Haveli andDaman and Diu",227,6,2,31,10,50,20,45,1,62
Delhi,4859,16,0,896,66,991,481,958,287,1164
Goa,9460,387,32,1751,195,723,2818,1609,0,1945
Gujarat,45148,9,18,968,168,1866,0,24010,2815,15294
Haryana,71,0,0,7,6,2,16,6,29,5
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,15,0,0,5,4,3,3,0,0,0
Jharkhand,6229,20,109,1907,1610,997,812,572,45,157
Karnataka,39091,11,6,1723,9041,917,128,21438,179,5648
Kerala,119464,5802,98,36036,1036,29539,827,29330,248,16548
Ladakh,90,0,8,62,8,11,1,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4078,17,19,884,437,505,244,461,1005,506
Maharashtra,271464,108,292,49695,28502,39751,30262,74446,2282,46126
Manipur,2463,9,56,1183,222,357,343,197,7,89
Meghalaya,18035,243,1081,5441,84,4800,807,4357,241,981
Mizoram,1895,0,0,0,0,533,0,994,0,368
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,32761,0,1,1186,277,2459,3041,16485,0,9312
Puducherry,866,37,8,231,140,52,188,79,39,92
Punjab,4647,18,27,949,177,464,321,1248,403,1040
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,125,1,1,25,4,13,11,38,9,23
Tamil Nadu,73111,26,3,25056,1122,10914,7386,15848,2349,10407
Telangana,3085,25,79,1136,220,256,661,486,0,222
Tripura,1061,0,0,162,1,79,47,271,91,410
Uttar Pradesh,90121,1,13,3797,747,14090,10964,30265,11794,18450
Uttarakhand,5177,0,1,139,28,912,765,1241,926,1165
West Bengal,1025,23,136,129,16,57,153,155,242,114
